record_index,reason,status,imu_samples,imu_gap_ns,input_points,filtered_points,queries,accepted_residuals,residual_rms,iterations,final_increment_norm,map_points,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
2,No IMU sample at or before LiDAR scan start,COLLECTING_IMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,No IMU sample at or before LiDAR scan start,COLLECTING_IMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6484400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6207745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245214391873863 current_scan_start_ns=1701245214391548395 current_scan_end_ns=1701245214424183395 overlap_duration_ns=325468 scan_index=2,COLLECTING_IMU,8,6207745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,13,6127817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,8055247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6145782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6494999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,7,6015583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6359029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245214625386741 current_scan_start_ns=1701245214624883413 current_scan_end_ns=1701245214657518413 overlap_duration_ns=503328 scan_index=9,COLLECTING_IMU,8,6359029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,14,6143950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,OVERLAPPING_LIDAR_INTERVAL previous_synchronized_end_ns=1701245214691853550 current_scan_start_ns=1701245214691558838 current_scan_end_ns=1701245214724193838 overlap_duration_ns=294712 scan_index=11,COLLECTING_IMU,14,6143950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,13,6234905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6032880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6054527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,7,6350670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,9,6350670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,7,6141120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
