record_index,reason,status,imu_samples,imu_gap_ns,input_points,filtered_points,queries,accepted_residuals,residual_rms,iterations,final_increment_norm,map_points,prediction_us,deskew_us,preprocessing_us,residual_build_us,ikfom_update_us,map_insert_crop_us,snapshot_us,total_processing_us
2,No IMU sample at or before LiDAR scan start,COLLECTING_IMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,No IMU sample at or before LiDAR scan start,COLLECTING_IMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6484400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6207745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,LiDAR scans overlap a previously propagated interval,COLLECTING_IMU,8,6207745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,13,6127817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,8055247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6145782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6494999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,7,6015583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6359029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,LiDAR scans overlap a previously propagated interval,COLLECTING_IMU,8,6359029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,14,6143950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,LiDAR scans overlap a previously propagated interval,COLLECTING_IMU,14,6143950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,13,6234905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6032880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6054527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,7,6350670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,9,6350670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,7,6141120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,LiDAR scans overlap a previously propagated interval,COLLECTING_IMU,7,6141120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,14,6344823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,LiDAR scans overlap a previously propagated interval,COLLECTING_IMU,14,6344823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,14,6097233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,7,6042000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,IMU_INITIALIZATION_NOT_READY,COLLECTING_IMU,8,6441827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
